"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2004","111.26","112.78","113.07","110.57","244.58M","-1.11%"
"10/03/2004","112.51","114.09","114.68","112.35","204.34M","-1.00%"
"09/26/2004","113.65","111.10","113.65","110.41","221.69M","1.96%"
"09/19/2004","111.46","112.67","113.47","110.95","206.42M","-1.49%"
"09/12/2004","113.15","113.31","113.74","112.68","168.68M","0.08%"
"09/05/2004","113.06","112.54","113.27","112.03","132.62M","0.84%"
"08/29/2004","112.12","111.23","112.82","110.10","197.07M","0.60%"
"08/22/2004","111.45","110.55","111.63","109.85","154.55M","0.88%"
"08/15/2004","110.48","107.14","110.63","107.10","214.65M","3.07%"
"08/08/2004","107.19","107.02","108.41","106.59","238.30M","0.32%"
"08/01/2004","106.85","110.19","111.36","106.62","246.23M","-3.60%"
"07/25/2004","110.84","109.21","110.90","108.21","261.03M","1.73%"
"07/18/2004","108.96","110.75","112.06","108.69","265.44M","-1.58%"
"07/11/2004","110.71","111.52","112.39","110.44","196.06M","-0.91%"
"07/04/2004","111.73","112.37","112.57","111.20","141.47M","-1.02%"
"06/27/2004","112.88","114.53","114.79","112.58","214.73M","-0.84%"
"06/20/2004","113.84","113.75","114.94","112.67","170.14M","0.18%"
"06/13/2004","113.63","113.82","114.44","112.87","159.01M","-0.63%"
"06/06/2004","114.35","113.50","114.92","113.42","123.07M","1.21%"
"05/30/2004","112.98","112.46","113.58","111.87","152.34M","0.11%"
"05/23/2004","112.86","110.53","113.03","109.60","197.37M","2.78%"
"05/16/2004","109.81","108.89","111.18","108.41","225.93M","-0.21%"
"05/09/2004","110.04","109.44","110.81","108.06","326.26M","0.07%"
"05/02/2004","109.96","111.37","113.26","109.96","235.36M","-0.90%"
"04/25/2004","110.96","114.50","115.12","110.90","247.64M","-2.97%"
"04/18/2004","114.36","113.57","114.67","111.78","223.50M","0.47%"
"04/11/2004","113.83","114.58","115.30","112.36","250.37M","-0.47%"
"04/04/2004","114.37","114.46","115.41","113.74","151.61M","-0.24%"
"03/28/2004","114.64","111.63","114.84","111.58","227.92M","3.25%"
"03/21/2004","111.03","110.54","111.79","108.85","255.89M","-0.03%"
"03/14/2004","111.06","112.27","113.27","110.84","268.38M","-1.35%"
"03/07/2004","112.58","116.34","116.62","111.10","290.33M","-3.27%"
"02/29/2004","116.38","115.43","116.97","114.92","180.16M","1.18%"
"02/22/2004","115.02","115.22","115.74","113.03","180.52M","0.12%"
"02/15/2004","114.88","115.85","116.60","114.32","150.57M","-0.22%"
"02/08/2004","115.13","114.67","116.39","114.26","168.35M","0.59%"
"02/01/2004","114.45","113.70","114.70","112.78","176.88M","0.85%"
"01/25/2004","113.48","114.44","116.50","112.56","209.86M","-0.83%"
"01/18/2004","114.43","114.53","115.38","113.72","140.51M","0.18%"
"01/11/2004","114.23","112.55","114.31","111.76","188.37M","1.64%"
"01/04/2004","112.39","111.78","113.50","111.59","169.80M","1.04%"
"12/28/2003","111.23","110.10","112.19","109.78","111.72M","1.39%"
"12/21/2003","109.70","108.83","110.08","108.78","68.76M","0.73%"
"12/14/2003","108.90","109.17","109.73","107.48","166.06M","0.70%"
"12/07/2003","108.14","106.74","108.20","105.96","192.68M","1.21%"
"11/30/2003","106.85","106.93","108.08","106.62","178.14M","0.38%"
"11/23/2003","106.45","104.69","106.66","104.68","110.14M","2.15%"
"11/16/2003","104.21","104.91","105.45","103.62","199.12M","-1.19%"
"11/09/2003","105.46","105.74","106.95","104.80","159.30M","-0.14%"
"11/02/2003","105.61","105.75","106.72","104.90","162.85M","0.29%"
"10/26/2003","105.30","103.74","105.97","103.27","163.26M","1.66%"
"10/19/2003","103.58","104.45","105.28","102.18","186.86M","-0.65%"
"10/12/2003","104.26","104.72","105.89","103.98","167.83M","-0.30%"
"10/05/2003","104.57","103.48","105.22","102.91","156.62M","1.14%"
"09/28/2003","103.39","100.30","104.28","99.25","266.84M","3.44%"
"09/21/2003","99.95","102.85","103.29","99.85","207.04M","-3.59%"
"09/14/2003","103.67","102.52","104.70","101.95","156.03M","1.19%"
"09/07/2003","102.45","103.04","103.88","101.35","194.95M","-0.37%"
"08/31/2003","102.83","101.64","103.70","101.05","155.85M","1.37%"
"08/24/2003","101.44","99.71","101.48","98.83","143.72M","1.67%"
"08/17/2003","99.77","99.93","101.82","99.73","182.22M","0.15%"
"08/10/2003","99.62","98.26","99.85","97.84","162.99M","1.36%"
