"date","open","high","low","close","volume","pct_chg"
2005-08-21,122.58,123.23,120.68,120.76,303460000,-0.014
2005-08-28,120.41,123.15,120.38,122.27,355790000,0.0125
2005-09-04,122.66,124.74,122.65,124.6,182220000,0.0191
2005-09-11,124.45,124.67,122.87,123.5,295800000,-0.0088
2005-09-18,123.47,123.61,120.44,121.44,376870000,-0.0167
2005-09-25,122.02,123.04,121.02,123.04,309770000,0.0132
2005-10-02,122.96,123.34,118.17,119.61,434750000,-0.0279
2005-10-09,119.68,119.71,116.88,118.67,416590000,-0.0079
2005-10-16,118.77,119.81,117.12,118.13,489270000,-0.0046
2005-10-23,118.44,120.54,117.93,119.8,373390000,0.0141
2005-10-30,120.29,122.66,120.13,122.11,365900000,0.0193
2005-11-06,122.4,123.86,121.75,123.76,260620000,0.0135
2005-11-13,123.76,125.76,122.86,125.13,293980000,0.0111
2005-11-20,125.15,127.41,124.98,127.13,182590000,0.016
2005-11-27,127.25,127.27,125.29,126.85,274660000,-0.0022
2005-12-04,126.64,127.74,125.48,126.33,297500000,-0.0041
2005-12-11,126.71,128.57,125.96,126.36,303580000,2e-04
2005-12-18,126.73,126.87,125.48,126.76,207460000,0.0032
2005-12-25,126.92,127.05,124.36,124.51,152950000,-0.0178
2006-01-01,125.1,128.58,124.39,128.44,235850000,0.0316
2006-01-08,128.42,129.44,128.2,128.68,223500000,0.0019
2006-01-15,128.2,128.9,125.97,125.97,321080000,-0.0211
2006-01-22,126.21,128.66,125.84,128.54,345080000,0.0204
2006-01-29,128.44,128.81,126.14,126.27,340100000,-0.0177
2006-02-05,126.44,128.1,125.4,126.64,302710000,0.0029
2006-02-12,126.57,129.21,125.95,128.81,330170000,0.0171
2006-02-19,129.12,129.65,128.28,129.41,169040000,0.0047
2006-02-26,129.4,130.07,128.13,128.76,293080000,-0.005
2006-03-05,129.14,129.18,127.18,128.59,303070000,-0.0013
2006-03-12,128.84,131.47,128.53,130.62,283410000,0.0158
2006-03-19,130.64,130.99,129.45,130.21,274650000,-0.0031
2006-03-26,130.03,130.98,129.05,129.83,309660000,-0.0029
2006-04-02,130.07,131.4,129.35,129.54,305160000,-0.0022
2006-04-09,129.71,130.08,128.25,128.71,208480000,-0.0064
2006-04-16,128.79,131.86,128.02,131.15,402520000,0.019
2006-04-23,130.93,131.75,129.59,131.47,384640000,0.0024
2006-04-30,131.47,132.8,130.32,132.52,280470000,0.008
2006-05-07,132.51,132.77,129.19,129.24,296690000,-0.0248
2006-05-14,128.79,130,125.8,127.1,503260000,-0.0166
2006-05-21,126.28,128.38,124.76,128.38,513280000,0.0101
2006-05-28,127.97,129.43,126.05,129,324820000,0.0048
2006-06-04,128.79,128.86,123.87,125.35,625690000,-0.0283
2006-06-11,125.88,126.36,122.34,124.65,673990000,-0.0056
2006-06-18,125.4,125.7,123.55,124.44,365500000,-0.0017
2006-06-25,124.54,127.66,123.65,127.23,335040000,0.0224
2006-07-02,127.43,128.01,126.29,126.61,226490000,-0.0049
2006-07-09,126.94,127.43,122.83,123.52,423030000,-0.0244
2006-07-16,123.5,126.3,122.39,123.95,553470000,0.0035
2006-07-23,124.44,128.14,124.44,127.98,442350000,0.0325
2006-07-30,127.66,129.43,126.6,128.2,339650000,0.0017
2006-08-06,127.9,128.6,126.28,127.01,332070000,-0.0093
2006-08-13,127.63,130.69,126.92,130.69,327330000,0.029
2006-08-20,130.18,130.52,129.19,129.81,269350000,-0.0067
2006-08-27,129.65,131.58,129.64,131.42,251940000,0.0124
2006-09-03,131.51,131.85,129.35,130.28,237560000,-0.0087
2006-09-10,129.86,132.45,129.48,131.96,335870000,0.0129
2006-09-17,131.79,132.77,131,131.47,386420000,-0.0037
2006-09-24,131.73,133.99,131.05,133.58,355350000,0.016
2006-10-01,133.54,135.41,132.34,135.01,332100000,0.0107
2006-10-08,134.85,136.71,134.3,136.63,314830000,0.012
2006-10-15,136.52,137.37,135.67,136.84,332680000,0.0015
2006-10-22,136.56,139,136.39,137.91,345100000,0.0078
2006-10-29,137.66,138.31,135.62,136.54,336070000,-0.0099
2006-11-05,136.96,139.14,136.86,138.24,359140000,0.0125
2006-11-12,138.18,140.68,138.07,140.42,365770000,0.0158
2006-11-19,140.3,141.16,139.94,140.35,197070000,-5e-04
2006-11-26,140.28,141.05,138.11,140.22,492920000,-9e-04
2006-12-03,140.25,142.3,140.23,141.42,357010000,0.0086
2006-12-10,141.42,143.24,140.89,142.34,308460000,0.0065
2006-12-17,142.54,142.88,140.67,140.75,266280000,-0.0112
2006-12-24,140.81,142.7,140.78,141.62,155190000,0.0062
2006-12-31,142.25,142.86,140.38,140.54,241180000,-0.0076
2007-01-07,140.82,143.24,140.25,143.24,333070000,0.0192
2007-01-14,143.07,143.46,142.31,142.82,221840000,-0.0029
2007-01-21,143.07,143.98,141.58,142.16,320380000,-0.0046
2007-01-28,142.19,144.95,141.74,144.81,347470000,0.0186
2007-02-04,144.7,145.36,143.39,143.94,308270000,-0.006
2007-02-11,143.94,145.95,143.19,145.73,274410000,0.0124
2007-02-18,145.56,146.42,144.06,145.3,271990000,-0.003
2007-02-25,145.83,145.95,138.05,138.67,898090000,-0.0456
2007-03-04,137.93,141.42,137.33,140.78,629030000,0.0152
2007-03-11,140.42,141.34,136.75,138.53,757350000,-0.016
2007-03-18,139.26,143.81,138.55,143.39,526450000,0.0351
2007-03-25,143.5,143.65,140.56,142,635090000,-0.0097
2007-04-01,142.16,144.44,140.89,144.24,272860000,0.0158
2007-04-08,144.65,145.32,143.34,145.32,4.16e+08,0.0075
2007-04-15,145.83,148.62,145.82,148.62,507510000,0.0227
2007-04-22,148.37,149.8,147.32,149.53,498190000,0.0061
2007-04-29,149.64,151.12,147.67,150.92,506940000,0.0093
2007-05-06,150.88,152.82,149.27,150.86,515300000,-4e-04
2007-05-13,150.86,152.62,149.79,152.62,604450000,0.0117
2007-05-20,152.58,153.5,150.74,151.69,662040000,-0.0061
2007-05-27,151.94,154.4,151.34,154.08,438850000,0.0158
2007-06-03,153.54,154.39,149.06,151.04,779730000,-0.0197
2007-06-10,150.93,153.66,149.55,153.07,832790000,0.0134
2007-06-17,153.38,153.58,149.85,150.55,787450000,-0.0165
2007-06-24,150.24,151.65,148.06,150.43,1e+09,-8e-04
2007-07-01,150.87,153.17,150.77,152.98,327790000,0.017
2007-07-08,153.16,155.46,150.52,154.85,6.74e+08,0.0122
2007-07-15,154.99,156,152.29,153.5,853230000,-0.0087
2007-07-22,154.18,154.72,145.05,145.11,1.53e+09,-0.0547
2007-07-29,145.93,149.46,143.2,143.8,1.72e+09,-0.009
2007-08-05,144.21,150.59,142.53,144.71,1.65e+09,0.0063
2007-08-12,146.5,146.89,137,144.71,1.7e+09,0
2007-08-19,145.17,148.33,143.29,148.33,850360000,0.025
2007-08-26,147.85,148.5,143.46,147.59,917760000,-0.005
2007-09-02,147.45,149.98,145.26,146.07,649650000,-0.0103
2007-09-09,146.52,149.45,144.33,148.9,780040000,0.0194
2007-09-16,148.31,154.39,147.63,151.97,884060000,0.0206
2007-09-23,152.42,153.19,150.47,152.58,653420000,0.004
2007-09-30,152.6,156.1,152.5,155.85,591650000,0.0214
2007-10-07,155.39,157.52,154.54,156.33,625120000,0.0031
2007-10-14,156.27,156.48,149.66,149.67,989990000,-0.0426
2007-10-21,148.86,153.62,148,153.62,1.18e+09,0.0264
2007-10-28,153.93,155.27,149.21,151.2,1.13e+09,-0.0158
2007-11-04,149.64,152.11,144.89,145.14,1.36e+09,-0.0401
2007-11-11,145.21,149.4,143.7,145.79,1.24e+09,0.0045
2007-11-18,145.28,145.53,141.67,144.13,1.02e+09,-0.0114
2007-11-25,144.43,149.87,140.66,148.66,1.19e+09,0.0314
2007-12-02,148.19,151.5,146.31,150.91,757620000,0.0151
2007-12-09,151.28,152.89,147.1,147.17,1.09e+09,-0.0248
2007-12-16,146.61,148.42,143.96,148.13,982660000,0.0065
2007-12-23,148.82,149.68,146.9,147.3,352100000,-0.0056
2007-12-30,147.1,147.61,140.91,141.31,670530000,-0.0407
2008-01-06,141.81,142.9,137.7,140.15,1.47e+09,-0.0082
2008-01-13,141.16,141.86,131.1,132.06,1.54e+09,-0.0577
2008-01-20,127.21,136.76,126,133.04,1.48e+09,0.0074
2008-01-27,133.26,139.61,132.06,139.58,1.27e+09,0.0492
