"date","open","high","low","close","volume","pct_chg"
2000-08-22,150.56,151.31,150.09,150.25,3080000,-0.0017
2000-08-23,149.81,151.28,149.28,150.84,5480000,0.0039
2000-08-24,151.16,151.55,150.5,151.31,4530000,0.0031
2000-08-25,151.16,151.62,150.94,151.25,2820000,-4e-04
2000-08-28,151.25,152.91,151.25,151.77,5520000,0.0034
2000-08-29,151.44,151.88,150.91,151.8,3560000,2e-04
2000-08-30,151.31,151.5,150.34,150.34,3960000,-0.0096
2000-08-31,151.06,153.09,150.91,152.34,4860000,0.0133
2000-09-01,153.25,153.59,152,152.5,3190000,0.0011
2000-09-05,151.88,152.2,150.81,151.28,3470000,-0.008
2000-09-06,151.19,151.95,149.53,149.56,4320000,-0.0114
2000-09-07,150.25,151.08,149.83,150.84,4270000,0.0086
2000-09-08,150.28,150.5,149.33,149.81,3520000,-0.0068
2000-09-11,149.75,151.19,148.69,149.59,3940000,-0.0015
2000-09-12,149.75,150.25,148.44,148.5,4770000,-0.0073
2000-09-13,148,149.34,147.66,148.89,7690000,0.0026
2000-09-14,149.88,149.94,148.16,149.64,3400000,0.005
2000-09-15,148.19,148.25,146,146,4090000,-0.0243
2000-09-18,146.38,146.97,144.2,144.66,5110000,-0.0092
2000-09-19,145.12,146.31,144.7,145.97,6590000,0.0091
2000-09-20,145.69,146.03,143.16,144.89,6510000,-0.0074
2000-09-21,144.47,145.56,142.62,142.69,5970000,-0.0152
2000-09-22,142.62,145.31,142.42,145.28,7790000,0.0182
2000-09-25,145.94,146.06,143.72,144.25,9730000,-0.0071
2000-09-26,144.38,145,142.41,142.41,5300000,-0.0128
2000-09-27,143.56,143.97,142.12,143.16,7190000,0.0053
2000-09-28,143.19,146.33,142.89,145,7040000,0.0129
2000-09-29,145.47,145.97,143.62,143.62,9330000,-0.0095
2000-10-02,144.28,144.91,143.14,143.84,5520000,0.0015
2000-10-03,144.53,145.75,142.28,142.5,9350000,-0.0093
2000-10-04,142.88,144.25,141.75,143.69,6150000,0.0084
2000-10-05,143.41,144.84,143.31,144.19,4570000,0.0035
2000-10-06,143.88,144.64,139.75,141.06,10010000,-0.0217
2000-10-09,141.31,141.31,139.38,140,4510000,-0.0075
2000-10-10,140.09,141.25,137.69,137.69,6100000,-0.0165
2000-10-11,137.62,138.62,135.12,136.53,10370000,-0.0084
2000-10-12,137.28,137.59,132.78,133.12,12340000,-0.025
2000-10-13,132.94,137.66,132.88,137.56,11780000,0.0334
2000-10-16,137.41,138.23,136.69,138.19,5660000,0.0046
2000-10-17,138.44,138.56,134.41,134.75,7830000,-0.0249
2000-10-18,132.62,136.12,130.16,134.25,10900000,-0.0037
2000-10-19,136.84,139.45,136.44,139.28,8770000,0.0375
2000-10-20,138.38,141.19,138.38,139.91,7370000,0.0045
2000-10-23,139.94,141.03,138.94,140.53,5290000,0.0044
2000-10-24,140.97,141.94,139,139.59,5750000,-0.0067
2000-10-25,138.75,139.56,136.12,136.31,9140000,-0.0235
2000-10-26,137.12,137.66,134.03,136.69,9350000,0.0028
2000-10-27,137.88,139.28,136.62,139.28,9760000,0.0189
2000-10-30,138.44,141.09,138.16,140.53,10150000,0.009
2000-10-31,141.02,143.69,140.06,142.95,7750000,0.0172
